,p_prism,aet_ssebop,aet_modis,pet_modis,tc_sm,dmet_swe,swe_lrm,Sres,qout_km3
1999-08-31,,,,,,,,0.14660156496,0.0034080741273599994
1999-09-30,,,,,,,,0.12651434316,0.0021725555097600003
1999-10-31,,,,,,,,0.11695363968,0.0022239335116799996
1999-11-30,,,,,,,,0.13947945144,0.0054020299161599995
1999-12-31,,,,,,,,0.13719257952,0.00538001077248
2000-01-31,,0.167976,,,,,,0.15781019772,0.05938073736192001
2000-02-29,,0.275342,,,,,,0.15593900856,0.18306226741248008
2000-03-31,,0.597843,,,,,,0.14746993488000001,0.09673254475775998
2000-04-30,,0.561561,,,,,,0.13975698444,0.04844211609599999
2000-05-31,,1.4140519999999999,,,,,,0.147215838,0.039957406064639996
2000-06-30,,1.6330419999999999,,,,,,0.14091028824,0.010676838113280003
2000-07-31,,2.426724,,,,,,0.15013425168,0.004039289579519999
2000-08-31,,1.588544,,,,,,0.15689002164,0.0018373752115200003
2000-09-30,,1.166969,,,,,,0.15076332648,0.00251752209408
2000-10-31,,0.289865,,,,,0.18250498827034609,0.14020103724,0.0041200264396800005
2000-11-30,,0.238924,,,,,0.5107400565059051,0.14140244676,0.004474779310079999
2000-12-31,,0.030729,,,,,0.7795571429706178,0.13882324008,0.005712744499200001
2001-01-31,0.1733216084188299,0.12611999999999998,0.052927737717150036,0.12900469169027043,0.27579548409936316,0.15908839341407605,1.8398365683332085,0.140894253,0.01060344096768
2001-02-28,0.22860695785497698,0.316272,0.03175383373207017,0.06648789664112698,0.35981265144089103,0.25378420894967135,3.544860118549318,0.13617865896,0.02403022546944001
2001-03-31,0.10423248694859168,0.6649889999999999,0.07799742050928028,0.1861000997410355,0.37934172545505884,0.2941113699923374,2.178868211682886,0.14232138936,0.03480737301504
2001-04-30,0.17142106797063378,0.692583,0.06532606995068356,0.15686706773867867,0.3831351427096094,0.30954853936634724,0.7440104559720493,0.15407028636,0.03415413841920001
2001-05-31,0.005741019839996965,1.0189979999999998,0.11452252125073023,0.363785432619268,0.2499440479942777,0.2839069268246591,0.0,0.16460420556,0.020335902474239997
2001-06-30,0.0039973587509274915,1.8780869999999998,0.04756295386835328,0.25430576918148534,0.14232339551332396,0.20477126050158323,0.0,0.16794200244,0.0032979784089600017
2001-07-31,0.0002923522338627906,2.4643729999999997,0.07606723034208157,0.3738322702865813,0.1008767995839749,0.13392176410293255,0.0,0.16586482212,0.00113887904256
2001-08-31,0.0,1.55578,0.04429554033531161,0.3490110684253406,0.07909977460414745,0.07451887905864621,0.0,0.15580949316,0.00043500041625599994
2001-09-30,0.01646025300711262,1.0721669999999999,0.05819399595070853,0.2630824668212921,0.06561206881018981,0.03497678505314603,0.0,0.15744878808,0.0004699863889919999
2001-10-31,0.036203174567969836,0.224992,0.036608883091324464,0.1360531873641014,0.05605827720613649,0.014600723176124295,0.0,0.15670499964,0.0007744866803711999
2001-11-30,0.2335037226483521,0.106794,0.03372375417033439,0.09325935922860973,0.26792765571955457,0.017963895631794492,0.7628017979396972,0.13846183044,0.004238195844096
2001-12-31,0.3773608992709868,0.071334,0.024879392013240607,0.04214191453390302,0.41516844397025887,0.12858704598834522,2.206401232878678,0.12309143616,0.022760699507712
2002-01-31,0.1488447717129569,0.086923,0.030014225379708315,0.0714969154453242,0.4181188796126871,0.10804654024768401,3.632563790220768,0.12890976132,0.040424701224959995
2002-02-28,0.1363216411073722,0.194928,0.04760281841271835,0.12802498700363876,0.4181188796126871,0.13078058483370128,3.6492883557565516,0.13783645608,0.0388515557376
2002-03-31,0.23064523218285302,0.47629299999999997,0.06262501746160246,0.14207968238985738,0.418680867354102,0.16878291991673727,3.515140631370247,0.12215522484,0.06476319470592
2002-04-30,0.059548913766947174,0.6426459999999999,0.06888393821686613,0.1519975592291044,0.38187067029142596,0.16369416147916918,1.1766610430465954,0.14157513396,0.04146694069248
2002-05-31,0.07385221987148816,1.755895,0.10735239397691129,0.30747107667373164,0.3005229447216189,0.15040492132680253,0.0,0.15267152004,0.024140321187840014
2002-06-30,0.0,1.802781,0.10767047107522594,0.39121244449024706,0.1680343346830557,0.10007073014581679,0.0,0.17080120908,0.0075721388544
2002-07-31,0.0007439939323157973,2.068548,0.06560976983653438,0.3835139125318061,0.1123975482829804,0.04650668086669804,0.0,0.1652493156,0.0016922935203840003
2002-08-31,0.0,1.848573,0.044033762203244405,0.35401679902690325,0.08598412443648003,0.019380779226637723,0.0,0.15452174004,0.0005816234474495998
2002-09-30,0.0006640474914485266,1.003224,0.048455755780383976,0.2723794564578474,0.07010797074150904,0.006807835936881185,0.0,0.1470061464,0.0004152565840896
2002-10-31,5.59513456328744e-07,0.353191,0.035411026718493804,0.13921443821073728,0.05928970671927217,0.0031186477935450986,0.0,0.14605143288,0.0006593999560704001
2002-11-30,0.17758942328282232,0.091842,0.032983741806836483,0.10719516748984133,0.2297124893033412,0.004190165442694935,0.16546145567036666,0.1397039448,0.004282968102912001
2002-12-31,0.42842018323263475,0.048868999999999996,0.019562677940883587,0.03928397391367781,0.4169949041298573,0.039668032306088466,3.798661862671375,0.15571698216,0.018490698233856007
2003-01-31,0.06756518353132598,0.09454699999999999,0.034939657825062496,0.0818446998194619,0.41797838267733334,0.07471383742200478,3.385474362511187,0.13647099372,0.020710227916799998
2003-02-28,0.10345451406086595,0.23660699999999998,0.04647691913639836,0.11364567932547356,0.4185403704187483,0.059934009380400034,3.1746731718340886,0.12842006976,0.017559043799040004
2003-03-31,0.13548145307321188,0.686639,0.07546650577444125,0.16359416367490773,0.4171354010652111,0.07309089051194244,2.5470673308117364,0.14587381176,0.025779524106239998
2003-04-30,0.34440780326267517,1.033,0.053041761157135894,0.10318083480287946,0.4203668305783467,0.11948230390775987,3.0796368969159675,0.15378535248,0.07501432937472002
2003-05-31,0.08100832835450525,1.9647979999999998,0.10922510507554188,0.27262561721177836,0.3463249456469334,0.13243956388245012,0.5127833065767773,0.15525442716,0.08203109649408
2003-06-30,0.0,1.8572009999999999,0.1128646643112553,0.3860176289533062,0.20048912674976632,0.08506009918581327,0.0,0.1637568048,0.015369851602943999
2003-07-31,0.001253243964048888,2.1820589999999997,0.04701687230973932,0.3826968920382828,0.12391829698198589,0.042662178153822596,0.0,0.15831592452,0.00288450782208
2003-08-31,0.03710275216753686,1.874758,0.06667048895232834,0.35192377169150285,0.09230648652739766,0.01412759032426205,0.0,0.15677654148,0.001540361428992
