,p_prism,aet_ssebop,aet_modis,pet_modis,tc_sm,dmet_swe,swe_lrm,Sres,Sres_outlet
2002-05-31,0.5637581273868534,0.195551,0.8347386799602586,3.6407228809456,1.2850719045270589,0.2187971215485734,0.0,0.22517547444,5.08422693888
2002-06-30,0.1098395309246219,0.177847,0.9532017295018624,4.785484658018075,0.766986694741534,0.11015396697109153,0.0,0.22252349244,4.53778049712
2002-07-31,0.09570515096520762,0.183716,0.5745645451012821,5.117602722324084,0.5493922292438839,0.04848894931058708,0.0,0.1981462272,3.8273946955200002
2002-08-31,0.0019961137869433467,0.157541,0.5055023594089385,4.625124435625106,0.4351133349100926,0.02231909606011167,0.0,0.1720581252,3.40245220116
2002-09-30,0.029376981111632727,0.072619,0.4955424752370442,3.412488577139345,0.3626301838340016,0.01228469634097656,0.0,0.14146042032,3.15548976948
2002-10-31,0.030501232875296762,0.022300999999999998,0.3124949562740679,1.691140290623749,0.311905783936502,0.008720575650052395,0.0,0.10493091012,2.97770829708
2002-11-30,1.6084573972633642,0.010749,0.30562444937899985,1.1192467217590332,0.896567072899313,0.012702011178049524,0.06322654896847599,0.08471417292,2.88009932424
2002-12-31,5.9720594180700965,0.009335,0.10279324603338004,0.20771988190892704,2.213004867941798,0.08125682714673108,0.5273674209974707,0.06346007904,3.97574903556
2003-01-31,1.9441695217142918,0.005528,0.27229614936233765,0.591906481205678,2.3359945715663812,0.22755843494313618,0.5202523587662726,0.04477285704,4.36253752656
2003-02-28,0.8698160303389535,0.016007999999999998,0.358280757134676,1.068271017975686,2.3576202867025318,0.1655268395849626,0.5657826599045657,0.02833056864,4.42114139484
2003-03-31,2.146589908575567,0.066415,0.5302116167486457,1.3659043433350755,2.2948243324891857,0.2041293020639148,0.5216290295532529,0.03773955408,5.06184174384
2003-04-30,3.1141572199167564,0.10688099999999999,0.325834571472044,0.9056830546345183,2.21607271451909,0.342609978491158,0.7198434138787562,0.08476597908,5.59583497152
